trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.6, 'e': 1.0}",20,0,-19.7180812338378,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.6, 'e': 1.0}",25,0,-165.16967760726638,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.6, 'e': 1.0}",20,0,-64.93966790234239,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.6, 'e': 1.0}",20,0,-95.57292937887935,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
49,False,"{'a': 0.6, 'e': 1.0}",20,0,-116.9179499226853,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
50,False,"{'a': 0.6, 'e': 1.0}",30,0,-214.9334100669882,"{0: 15, 1: 2, 2: 7, 3: 4, 4: 2}",0
51,False,"{'a': 0.6, 'e': 1.0}",30,0,-81.2067013556756,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.6, 'e': 1.0}",20,0,-133.0861677852729,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.6, 'e': 1.0}",25,0,-207.57664985059762,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
54,False,"{'a': 0.6, 'e': 1.0}",25,0,-97.46813892837433,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.6, 'e': 1.0}",25,0,-187.8482038081546,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
56,False,"{'a': 0.6, 'e': 1.0}",35,0,-195.7871064584262,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
57,False,"{'a': 0.6, 'e': 1.0}",20,10,-6.6972888811081726,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 1.0}",20,0,-138.71513056337102,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
59,False,"{'a': 0.6, 'e': 1.0}",20,0,-86.65804270339282,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
60,False,"{'a': 0.6, 'e': 1.0}",30,1,-143.99202353151645,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 2}",1
61,False,"{'a': 0.6, 'e': 1.0}",25,0,-235.1843308181501,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
62,False,"{'a': 0.6, 'e': 1.0}",30,0,-110.37321137210176,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.6, 'e': 1.0}",35,0,-121.53382962903935,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.6, 'e': 1.0}",20,9,-21.757873027403715,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.6, 'e': 1.0}",25,1,-104.51270346364556,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 1}",1
66,False,"{'a': 0.6, 'e': 1.0}",20,0,-100.57109485729863,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.6, 'e': 1.0}",25,0,-96.63872540137493,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.6, 'e': 1.0}",25,0,-193.91651810376172,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
69,False,"{'a': 0.6, 'e': 1.0}",20,0,-92.0293226831097,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.6, 'e': 1.0}",20,0,-94.15459084511961,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.6, 'e': 1.0}",25,0,-97.94674790785609,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.6, 'e': 1.0}",25,0,-64.61212406152221,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
73,False,"{'a': 0.6, 'e': 1.0}",25,0,-109.79861052188834,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
74,False,"{'a': 0.6, 'e': 1.0}",30,0,-152.0385994266966,"{0: 14, 1: 2, 2: 12, 3: 2, 4: 0}",0
75,False,"{'a': 0.6, 'e': 1.0}",20,0,-100.0706611272754,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
76,False,"{'a': 0.6, 'e': 1.0}",30,10,-74.91064843313069,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.6, 'e': 1.0}",25,5,-104.42763805202418,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
78,False,"{'a': 0.6, 'e': 1.0}",20,0,-55.01990883604257,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
79,False,"{'a': 0.6, 'e': 1.0}",20,0,-77.27255704718935,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
80,False,"{'a': 0.6, 'e': 1.0}",20,0,-69.22087678740282,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.6, 'e': 1.0}",25,0,-86.92030565303376,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
82,False,"{'a': 0.6, 'e': 1.0}",30,0,-88.49731793327655,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.6, 'e': 1.0}",30,8,-100.58040821956098,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
84,False,"{'a': 0.6, 'e': 1.0}",20,0,-131.97794613088607,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
85,False,"{'a': 0.6, 'e': 1.0}",25,0,-141.4976146674087,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
86,False,"{'a': 0.6, 'e': 1.0}",30,0,-126.40167840371585,"{0: 17, 1: 4, 2: 5, 3: 4, 4: 0}",1
87,False,"{'a': 0.6, 'e': 1.0}",20,0,-140.97689828570665,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
88,False,"{'a': 0.6, 'e': 1.0}",20,0,-59.541550303064724,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.6, 'e': 1.0}",25,0,-126.95401436734505,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.6, 'e': 1.0}",30,0,-119.3976670216955,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
